key_id,tournament_id,tournament_name,year,start_date,end_date,host_country,winner,host_won,count_teams
1,WC-1930,1930 FIFA Men's World Cup,1930,13/07/1930,30/07/1930,Uruguay,Uruguay,1,13
2,WC-1934,1934 FIFA Men's World Cup,1934,27/05/1934,10/06/1934,Italy,Italy,1,16
3,WC-1938,1938 FIFA Men's World Cup,1938,04/06/1938,19/06/1938,France,Italy,0,15
4,WC-1950,1950 FIFA Men's World Cup,1950,24/06/1950,16/07/1950,Brazil,Uruguay,0,13
5,WC-1954,1954 FIFA Men's World Cup,1954,16/06/1954,04/07/1954,Switzerland,West Germany,0,16
6,WC-1958,1958 FIFA Men's World Cup,1958,08/06/1958,29/06/1958,Sweden,Brazil,0,16
7,WC-1962,1962 FIFA Men's World Cup,1962,30/05/1962,17/07/1962,Chile,Brazil,0,16
8,WC-1966,1966 FIFA Men's World Cup,1966,11/07/1966,30/07/1966,England,England,1,16
9,WC-1970,1970 FIFA Men's World Cup,1970,31/05/1970,21/06/1970,Mexico,Brazil,0,16
10,WC-1974,1974 FIFA Men's World Cup,1974,13/06/1974,07/07/1974,West Germany,West Germany,1,16
11,WC-1978,1978 FIFA Men's World Cup,1978,01/06/1978,25/06/1978,Argentina,Argentina,1,16
12,WC-1982,1982 FIFA Men's World Cup,1982,13/06/1982,11/07/1982,Spain,Italy,0,24
13,WC-1986,1986 FIFA Men's World Cup,1986,31/05/1986,29/06/1986,Mexico,Argentina,0,24
14,WC-1990,1990 FIFA Men's World Cup,1990,08/06/1990,08/07/1990,Italy,West Germany,0,24
15,WC-1991,1991 FIFA Women's World Cup,1991,16/11/1991,30/11/1991,China,United States,0,12
16,WC-1994,1994 FIFA Men's World Cup,1994,17/06/1994,17/07/1994,United States,Brazil,0,24
17,WC-1995,1995 FIFA Women's World Cup,1995,05/06/1995,18/06/1995,Sweden,Norway,0,12
18,WC-1998,1998 FIFA Men's World Cup,1998,10/06/1998,12/07/1998,France,France,1,32
19,WC-1999,1999 FIFA Women's World Cup,1999,19/06/1999,10/07/1999,United States,United States,1,16
20,WC-2002,2002 FIFA Men's World Cup,2002,31/05/2002,30/06/2002,"Korea, Japan",Brazil,0,32
21,WC-2003,2003 FIFA Women's World Cup,2003,20/09/2003,12/10/2003,United States,Germany,0,16
22,WC-2006,2006 FIFA Men's World Cup,2006,09/06/2006,09/07/2006,Germany,Italy,0,32
23,WC-2007,2007 FIFA Women's World Cup,2007,10/09/2007,30/09/2007,China,Germany,0,16
24,WC-2010,2010 FIFA Men's World Cup,2010,11/06/2010,11/07/2010,South Africa,Spain,0,32
25,WC-2011,2011 FIFA Women's World Cup,2011,26/06/2011,17/07/2011,Germany,Japan,0,16
26,WC-2014,2014 FIFA Men's World Cup,2014,12/06/2014,13/07/2014,Brazil,Germany,0,32
27,WC-2015,2015 FIFA Women's World Cup,2015,06/06/2015,05/07/2015,Canada,United States,0,24
28,WC-2018,2018 FIFA Men's World Cup,2018,14/06/2018,15/07/2018,Russia,France,0,32
29,WC-2019,2019 FIFA Women's World Cup,2019,07/06/2019,07/07/2019,France,United States,0,24
30,WC-2022,2022 FIFA Men's World Cup,2022,20/11/2022,18/12/2022,Qatar,Argentina,0,32
31,WC-2026,2026 FIFA Men's World Cup,2026,11/07/2026,19/07/2026,United States,Spain,0,48
